ISO3,Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
EST,Estonia,36.907,33.902,24.37,18.91,19.734,18.049,18.76,18.317,16.817,15.653,15.244,15.577,15.09,16.937,17.201,16.922,16.209,19.839,17.668,14.339,18.785,18.855,17.685,19.552,18.756,15.813,17.378,18.636,17.711,13.888
SWZ,Eswatini,0.964,0.876,0.835,0.711,1.081,1.063,0.791,1.147,1.165,1.242,1.213,1.096,1.081,1.004,1.0,1.015,1.015,1.052,1.033,1.074,1.015,1.026,1.191,1.546,0.901,0.978,1.18,0.986,0.988,0.974
ETH,Ethiopia,2.986,2.957,2.937,2.995,2.197,2.506,2.795,2.979,3.147,3.095,3.464,4.263,4.43,4.871,5.159,4.955,5.317,5.839,6.416,6.455,6.337,7.402,8.11,9.781,12.017,12.693,14.432,15.594,16.185,16.255
FRO,Faeroe Islands,0.703,0.656,0.649,0.583,0.575,0.572,0.601,0.59,0.623,0.63,0.689,0.762,0.725,0.733,0.747,0.722,0.678,0.689,0.63,0.575,0.63,0.568,0.59,0.678,0.597,0.608,0.63,0.707,0.705,0.715
FJI,Fiji,0.806,0.663,0.74,0.744,0.739,0.754,0.813,0.782,0.761,0.775,0.834,1.046,0.879,1.036,1.34,1.081,1.201,1.141,0.878,0.779,1.201,1.068,1.041,1.316,1.623,2.13,2.019,2.037,2.124,2.257
FIN,Finland,56.972,55.23,54.286,56.353,61.716,58.145,64.062,62.723,59.373,58.895,57.038,62.536,65.06,72.658,68.961,57.043,68.384,66.76,58.61,55.924,64.099,56.666,51.222,51.751,47.644,44.114,47.228,44.673,45.849,41.653
FRA,France,400.983,426.501,415.709,394.973,390.815,397.456,413.197,406.187,425.465,421.705,416.266,420.848,415.838,422.641,423.631,426.779,416.004,405.194,397.725,381.599,389.386,362.504,363.809,365.831,333.922,338.501,341.026,345.921,331.725,323.747
PYF,French Polynesia,0.44,0.436,0.418,0.429,0.443,0.432,0.436,0.454,0.451,0.498,0.572,0.682,0.685,0.74,0.725,0.784,0.78,0.769,0.795,0.799,0.806,0.777,0.755,0.762,0.74,0.769,0.744,0.747,0.781,0.832
GAB,Gabon,4.485,4.522,4.918,4.975,4.375,4.606,4.754,4.774,4.957,4.787,4.67,4.773,4.544,4.613,4.657,4.858,4.142,4.089,4.162,4.233,4.782,4.931,5.033,5.269,5.312,5.249,5.298,4.793,4.803,4.705
GMB,Gambia,0.198,0.198,0.198,0.209,0.209,0.216,0.22,0.224,0.242,0.275,0.275,0.3,0.3,0.3,0.322,0.326,0.352,0.352,0.366,0.381,0.432,0.447,0.454,0.432,0.513,0.524,0.531,0.535,0.563,0.586
GEO,Georgia,27.629,21.471,15.277,9.916,6.069,2.291,4.055,4.425,4.939,4.31,4.499,3.734,3.351,3.736,4.276,5.017,6.096,6.365,5.308,6.135,6.209,7.804,8.251,8.009,8.787,9.589,9.905,9.832,9.862,10.287
DEU,Germany,1052.349,1014.2,965.89,956.233,939.63,939.177,959.124,931.23,923.276,895.643,899.78,916.366,899.821,900.866,886.966,866.389,877.997,851.383,854.706,790.196,832.67,809.427,813.893,831.316,792.685,795.816,800.51,786.655,755.362,701.955
GHA,Ghana,3.791,4.21,3.661,4.311,5.089,5.154,5.469,6.204,6.246,6.369,6.101,6.733,7.231,7.437,7.152,6.803,9.16,9.619,8.926,7.498,9.711,11.226,14.316,14.18,14.754,16.115,16.547,13.817,14.48,14.96
GRC,Greece,83.426,83.401,84.983,84.296,86.442,86.979,89.132,93.821,98.641,97.958,102.999,105.386,105.021,109.09,109.547,113.931,112.472,114.592,111.125,104.355,97.362,94.55,91.43,81.735,78.66,74.958,71.368,74.853,71.798,67.184
GRL,Greenland,0.348,0.348,0.326,0.322,0.297,0.322,0.363,0.385,0.359,0.374,0.454,0.407,0.377,0.429,0.583,0.608,0.627,0.638,0.66,0.575,0.663,0.707,0.568,0.535,0.498,0.498,0.498,0.513,0.512,0.519
